,ActualContent,codes
146,*INDIA ECONOMIC AFFAIRS SECRETARY: 1.11% OF GDP FOR INFRASTRUCTURE FROM BUDGET IS DOABLE,"['REUTERS','FRX','DBT','MMT','IN','ECON']"
147,"*INDIA'S NATIONAL INFRASTRUCTURE PIPELINE ENVISAGES INR1.86 TLN BUDGETARY SUPPORT IN FY21, INR2.25 TLN IN FY22","['REUTERS','FRX','DBT','MMT','IN','ECON']"
148,"*INDIA INFRASTRUCTURE PIPELINE ENVISAGES INR2.74 TLN BUDGETARY SUPPORT IN FY23, INR3.33 TLN IN FY24, INR4.04 TLN IN FY25","['REUTERS','FRX','DBT','MMT','IN','ECON']"
149,*FOREIGN INVESTORS BOUGHT NET $39.06 MLN OF INDIAN SHARES ON DEC 30,"['REUTERS','FRX','DBT','MMT','IN','STX','STK']"
150,*FOREIGN INVESTORS BOUGHT NET $1.14 BLN OF INDIAN SHARES SO FAR IN DECEMBER,"['REUTERS','FRX','DBT','MMT','IN','STX','STK']"
151,*FOREIGN INVESTORS BOUGHT NET $14.51 BLN OF INDIAN SHARES SINCE JAN 1,"['REUTERS','FRX','DBT','MMT','IN','STX','STK']"
152,*FOREIGN INVESTORS BOUGHT NET $39.06 MLN OF INDIAN SHARES ON DEC 30,"['REUTERS','FRX','DBT','MMT','IN','STX','STK']"
153,*FOREIGN INVESTORS BOUGHT NET $1.14 BLN OF INDIAN SHARES SO FAR IN DECEMBER,"['REUTERS','FRX','DBT','MMT','IN','STX','STK']"
154,*FOREIGN INVESTORS BOUGHT NET $14.51 BLN OF INDIAN SHARES SINCE JAN 1,"['REUTERS','FRX','DBT','MMT','IN','STX','STK']"
155,*INDIA’S NATIONAL FERTILIZERS TO RAISE FUNDS VIA MARCH-END CP AT 5.38% COUPON - DEALERS,"['REUTERS','DBT','MMT','IN','CORPD']"
156,"*INDIA’S APRIL-NOVEMBER TOTAL RECEIPTS AT INR10.12 TRILLION, 48.6% OF FY20 BUDGET ESTIMATE","['REUTERS','FRX','DBT','MMT','IN','ECON','ECI']"
157,*INDIA APR-NOV NET TAX REVENUE AT INR7.51 TLN,"['REUTERS','FRX','DBT','MMT','IN','ECON','ECI']"
158,*INDIA APR-NOV NON-TAX REVENUE AT INR2.33 TLN,"['REUTERS','FRX','DBT','MMT','IN','ECON','ECI']"
159,"*INDIA APR-NOV TOTAL SPENDING INR18.20 TLN, 65.3% OF FY20 ESTIMATE","['REUTERS','FRX','DBT','MMT','IN','ECON','ECI']"
160,*INDIA APR-NOV DIVESTMENT PROCEEDS AT INR180.99 BLN,"['REUTERS','FRX','DBT','MMT','IN','ECON','ECI']"
161,*INDIA RUPEE AT 71.38 TO DOLLAR AGAINST 71.31 PREVIOUS CLOSE,"['REUTERS','FRX','DBT','MMT','IN']"
162,*INDIA RUPEE FALLS 0.7% AGAINST DOLLAR IN QUARTER ENDED DEC VS 2.7% FALL IN PREVIOUS QUARTER,"['REUTERS','FRX','DBT','MMT','IN']"
163,*INDIA RUPEE FALLS 2.3% AGAINST DOLLAR IN 2019 VS 9.2% FALL IN 2018,"['REUTERS','FRX','DBT','MMT','IN']"
164,*INDIA BENCHMARK BOND ENDS AT INR99.22 VS INR99.29 PREVIOUS CLOSE,"['REUTERS','DBT','MMT','IN','GVD']"
165,*INDIA BENCHMARK BOND YIELD ENDS AT 6.56% VS 6.55% PREVIOUS CLOSE,"['REUTERS','DBT','MMT','IN','GVD']"
166,"*INDIA BENCHMARK BOND YIELD FALLS 14 BPS IN QUARTER ENDED DEC, FIFTH CONSECUTIVE FALL","['REUTERS','DBT','MMT','IN','GVD']"
167,"*INDIA BENCHMARK BOND YIELD FALLS 81 BPS IN 2019, FIRST FALL IN 3 YEARS","['REUTERS','DBT','MMT','IN','GVD']"
168,*INDIA’S NOVEMBER INFRASTRUCTURE OUTPUT DOWN 1.5% ON YEAR,"['REUTERS','FRX','DBT','MMT','IN','ECON','ECI','IPR']"
169,*INDIA NOV COAL OUTPUT DOWN 2.5% ON YEAR,"['REUTERS','FRX','DBT','MMT','IN','ECON','ECI','IPR']"
170,*INDIA NOV CRUDE OIL OUTPUT DOWN 6% ON YEAR,"['REUTERS','FRX','DBT','MMT','IN','ECON','ECI','IPR']"
171,*INDIA NOV NATURAL GAS OUTPUT DOWN 6.4% ON YEAR,"['REUTERS','FRX','DBT','MMT','IN','ECON','ECI','IPR']"
172,*INDIA NOV PETROLEUM REFINERY PRODUCTS OUTPUT UP 3.1% ON YEAR,"['REUTERS','FRX','DBT','MMT','IN','ECON','ECI','IPR']"
173,*INDIA NOV FERTILIZERS OUTPUT UP 13.6% ON YEAR,"['REUTERS','FRX','DBT','MMT','IN','ECON','ECI','IPR']"
174,*INDIA NOV STEEL OUTPUT DOWN 3.7% ON YEAR,"['REUTERS','FRX','DBT','MMT','IN','ECON','ECI','IPR']"
175,*INDIA NOV CEMENT OUTPUT UP 4.1% ON YEAR,"['REUTERS','FRX','DBT','MMT','IN','ECON','ECI','IPR']"
176,*INDIA NOV ELECTRICITY OUTPUT DOWN 5.7% ON YEAR,"['REUTERS','FRX','DBT','MMT','IN','ECON','ECI','IPR']"
177,*INDIA APR-NOV INFRASTRUCTURE OUTPUT FLAT ON YEAR VS 5.1% RISE YEAR EARLIER,"['REUTERS','FRX','DBT','MMT','IN','ECON','ECI','IPR']"
178,*INDIA RELEASED NOV INFRASTRUCTURE OUTPUT DATA ON GOVT WEBSITE,"['REUTERS','FRX','DBT','MMT','IN','ECON','ECI','IPR']"
179,*REDINGTON (INDIA) TO RAISE FUNDS VIA 2-MONTH CP AT 5.40% COUPON - DEALERS,"['REUTERS','DBT','MMT','IN','CORPD']"
180,"*INDIA’S APRIL-NOVEMBER FISCAL DEFICIT INR8.08 TRILLION, 114.8% OF FY20 BUDGET ESTIMATE","['REUTERS','FRX','DBT','MMT','IN','ECI','ECON']"
181,*INDIA APR-NOV YEAR AGO FISCAL DEFICIT WAS 114.8% OF FY19 ESTIMATE,"['REUTERS','FRX','DBT','MMT','IN','ECI','ECON']"
182,"*INDIA APR-NOV NET TAX REVENUE INR7.51 TLN, 45.5% OF FY20 ESTIMATE","['REUTERS','FRX','DBT','MMT','IN','ECI','ECON']"
183,"*INDIA APR-NOV TOTAL SPENDING INR18.20 TLN, 65.3% OF FY20 ESTIMATE","['REUTERS','FRX','DBT','MMT','IN','ECI','ECON']"
184,"*INDIA APR-NOV REVENUE DEFICIT INR6.23 TLN, 128.3% OF FY20 ESTIMATE","['REUTERS','FRX','DBT','MMT','IN','ECI','ECON']"
185,"*INDIA APR-NOV NON-TAX REVENUE INR2.33 TLN, 74.3% OF FY20 ESTIMATE","['REUTERS','FRX','DBT','MMT','IN','ECI','ECON']"
186,"*INDIA APR-NOV TOTAL RECEIPTS INR10.12 TLN, 48.6% OF FY20 ESTIMATE","['REUTERS','FRX','DBT','MMT','IN','ECI','ECON']"
187,*INDIA RELEASED APR-NOV FISCAL DEFICIT DATA ON GOVT WEBSITE,"['REUTERS','FRX','DBT','MMT','IN','ECI','ECON']"
188,*FOREIGN INVESTORS SOLD NET PRELIM INR12.65 BLN OF INDIA SHARES TODAY - BSE,"['REUTERS','FRX','DBT','MMT','IN']"
189,*FOREIGN INVESTORS SOLD NET $7.09 MLN OF INDIA DEBT ON DEC 31,"['REUTERS','FRX','DBT','MMT','IN','GVD','CORPD']"
190,*FOREIGN INVESTORS SOLD NET $1.20 BLN OF INDIA DEBT IN DECEMBER,"['REUTERS','FRX','DBT','MMT','IN','GVD','CORPD']"
191,*FOREIGN INVESTORS SOLD NET $2.17 BLN OF INDIA DEBT IN 2019,"['REUTERS','FRX','DBT','MMT','IN','GVD','CORPD']"
192,*FOREIGN INVESTORS SOLD NET $7.09 MLN OF INDIA DEBT ON DEC 31,"['REUTERS','FRX','DBT','MMT','IN','GVD','CORPD']"
193,*FOREIGN INVESTORS SOLD NET $1.20 BLN OF INDIA DEBT IN DECEMBER,"['REUTERS','FRX','DBT','MMT','IN','GVD','CORPD']"
194,*FOREIGN INVESTORS SOLD NET $2.17 BLN OF INDIA DEBT IN 2019,"['REUTERS','FRX','DBT','MMT','IN','GVD','CORPD']"
195,*NOMURA: EXPECT INDIA CURRENT ACCOUNT DEFICIT TO AVERAGE 1.3% OF GDP IN FY20 AND RISE TO 1.8% IN FY21,"['REUTERS','FRX','DBT','MMT','IN','ECON','RCH']"
196,"*NOMURA: EXPECT BASIC BALANCE OF PAYMENTS TO REMAIN NEGATIVE FOR FY20, FY21 EMPHASIZING IMPORTANCE OF SUSTAINING INFLOWS","['REUTERS','FRX','DBT','MMT','IN','ECON','RCH']"
197,*NOMURA: EXPECT INDIA CURRENT ACCOUNT DEFICIT TO AVERAGE 1.3% OF GDP IN FY20 AND RISE TO 1.8% IN FY21,"['REUTERS','FRX','DBT','MMT','IN','ECON','RCH']"
198,"*NOMURA: EXPECT BASIC BALANCE OF PAYMENTS TO REMAIN NEGATIVE FOR FY20, FY21 EMPHASIZING IMPORTANCE OF SUSTAINING INFLOWS","['REUTERS','FRX','DBT','MMT','IN','ECON','RCH']"
199,*INDIA RUPEE AT 71.36 TO DOLLAR AGAINST 71.38 PREVIOUS CLOSE,"['REUTERS','FRX','DBT','MMT','IN']"
200,*INDIA BENCHMARK BOND OPENS AT INR99.32 VS INR99.22 PREVIOUS CLOSE,"['REUTERS','DBT','MMT','IN','GVD']"
201,*INDIA BENCHMARK BOND YIELD OPENS AT 6.54% VS 6.56% PREVIOUS CLOSE,"['REUTERS','DBT','MMT','IN','GVD']"
202,*INDIA'S ICICI BANK CUTS MCLR BY 5 BPS ACROSS TENORS EFFECTIVE JAN 1 - WEBSITE,"['REUTERS','DBT','MMT','IN','BANK']"
203,*INDIA'S ICICI BANK CUTS MCLR BY 5 BPS ACROSS TENORS EFFECTIVE JAN 1 - WEBSITE,"['REUTERS','DBT','MMT','IN','BANK']"
204,*INDIA’S NATIONAL FERTILIZERS TO RAISE FUNDS VIA OVER 2-MONTH CP AT 5.33% COUPON - DEALERS,"['IN','DBT','MMT','CORPD','REUTERS']"
205,*INDIA’S NATIONAL FERTILIZERS TO RAISE FUNDS VIA OVER 2-MONTH CP AT 5.33% COUPON - DEALERS,"['REUTERS','DBT','MMT','IN','CORPD']"
206,*INDIA GOVT OFFICIAL: DISCUSSING RAISING FPI LIMITS IN GOVT BONDS TO 9% FROM 6%,"['REUTERS','FRX','DBT','MMT','IN','POL','ECON','CEN','PLCY']"
207,*INDIA OFFICIAL: ALSO CONSIDERING RAISING FPI LIMITS IN CORPORATE BONDS TO 12% FROM 9%,"['REUTERS','FRX','DBT','MMT','IN','POL','ECON','CEN','PLCY']"
208,*INDIA OFFICIAL: HIKE IN LIMITS TO FACILITATE INCLUSION OF INDIAN BONDS IN GLOBAL BOND INDICES ,"['REUTERS','FRX','DBT','MMT','IN','POL','ECON','CEN','PLCY']"
209,*INDIA OFFICIAL: NEW LIMITS EXPECTED TO OFFER 5-YEAR WINDOW TO INCLUDE INDIAN BONDS IN GLOBAL INDICES  ,"['REUTERS','FRX','DBT','MMT','IN','POL','ECON','CEN','PLCY']"
210,*INDIA BENCHMARK BOND EXTENDS GAIN ON GOVT OFFICIAL'S REMARKS ON FPI INVESTMENT LIMIT HIKE - TRADERS,"['REUTERS','GVD','DBT','MMT','IN','CORPD']"
211,*INDIA BENCHMARK BOND RISES TO DAY'S HIGH OF INR99.65 VS INR99.22 PREVIOUS CLOSE,"['REUTERS','GVD','DBT','MMT','IN']"
212,*INDIA BENCHMARK BOND YIELD FALLS TO 6.50% VS 6.56% PREVIOUS CLOSE,"['REUTERS','GVD','DBT','MMT','IN']"
213,*INDIA GST COLLECTIONS IN DECEMBER SEEN AT OVER INR1.03 TLN - OFFICIAL,"['REUTERS','FRX','DBT','MMT','IN','TAX','ECON']"
214,*INDIA GST COLLECTIONS IN DECEMBER AT INR1.03 TLN - STATEMENT,"['REUTERS','FRX','DBT','MMT','IN','TAX','ECON']"
215,*INDIA’S RASHTRIYA CHEMICALS AND FERTILIZERS TO RAISE FUNDS VIA MARCH-END CP AT 5.63% COUPON - DEALERS ,"['REUTERS','DBT','MMT','IN','CORPD']"
216,"*INDIA CGST COLLECTION IN DECEMBER AT INR199.62 BLN, SGST AT INR267.92 BLN - STATEMENT","['REUTERS','FRX','DBT','MMT','IN','TAX','ECON']"
217,"*INDIA IGST COLLECTION IN DECEMBER AT INR480.99 BLN, CESS AT INR83.31 BLN - STATEMENT","['REUTERS','FRX','DBT','MMT','IN','TAX','ECON']"
218,"*INDIA GOVT SETTLED INR218.14 BLN TO CGST, INR153.66 BLN TO SGST FROM IGST AS REGULAR SETTLEMENT","['REUTERS','FRX','DBT','MMT','IN','TAX','ECON']"
219,*FOREIGN INVESTORS SOLD NET $276.70 MLN OF INDIAN SHARES ON DEC 31,"['REUTERS','FRX','MMT','IN','STX','STK']"
220,*FOREIGN INVESTORS BOUGHT NET $862.08 MLN OF INDIAN SHARES IN DECEMBER,"['REUTERS','FRX','MMT','IN','STX','STK']"
221,*FOREIGN INVESTORS BOUGHT NET $14.23 BLN OF INDIAN SHARES IN 2019,"['REUTERS','FRX','MMT','IN','STX','STK']"
222,*FOREIGN INVESTORS SOLD NET $276.70 MLN OF INDIAN SHARES ON DEC 31,"['REUTERS','FRX','MMT','IN','STX','STK']"
223,*FOREIGN INVESTORS BOUGHT NET $862.08 MLN OF INDIAN SHARES IN DECEMBER,"['REUTERS','FRX','MMT','IN','STX','STK']"
224,*FOREIGN INVESTORS BOUGHT NET $14.23 BLN OF INDIAN SHARES IN 2019,"['REUTERS','FRX','MMT','IN','STX','STK']"
225,*INDIA RUPEE AT 71.22 TO DOLLAR AGAINST 71.38 PREVIOUS CLOSE,"['REUTERS','FRX','DBT','MMT','IN']"
226,*INDIA RUPEE ENDS AT HIGHEST AGAINST DOLLAR SINCE DEC 23,"['REUTERS','FRX','DBT','MMT','IN']"
227,*INDIA RUPEE AT 71.22 TO DOLLAR AGAINST 71.38 PREVIOUS CLOSE,"['REUTERS','FRX','DBT','MMT','IN']"
228,*INDIA RUPEE ENDS AT HIGHEST LEVEL AGAINST DOLLAR SINCE DEC 23,"['REUTERS','FRX','DBT','MMT','IN']"
229,*INDIA’S BENCHMARK BOND ENDS AT INR99.60 VS INR99.22 PREVIOUS CLOSE,"['REUTERS','FRX','DBT','MMT','IN','GVD']"
230,*INDIA’S BENCHMARK BOND YIELD ENDS AT 6.50% VS 6.56% PREVIOUS CLOSE,"['REUTERS','FRX','DBT','MMT','IN','GVD']"
231,*INDIA’S BENCHMARK BOND ENDS AT INR99.60 VS INR99.22 PREVIOUS CLOSE,"['REUTERS','FRX','DBT','MMT','IN','GVD']"
232,*INDIA’S BENCHMARK BOND YIELD ENDS AT 6.50% VS 6.56% PREVIOUS CLOSE,"['REUTERS','FRX','DBT','MMT','IN','GVD']"
233,"*INDIA'S PFC TO RAISE INR3.6 BLN VIA THREE-YEAR BONDS, INVITES BIDS BY 11:30 AM ON JAN 3 - DEALERS","['REUTERS','DBT','MMT','IN','CORPD']"
234,"*INDIA'S PFC TO RAISE INR3.6 BLN VIA THREE-YEAR BONDS, INVITES BIDS BY 11:30 AM ON JAN 3 - DEALERS","['REUTERS','DBT','MMT','IN','CORPD']"
235,*SINGAPORE ECONOMY GREW 0.8% ON YEAR IN 4Q – GOVT ADVANCE ESTIMATES,"['NIKKEI','SG','NR/ERN','RES']"
236,*SINGAPORE ECONOMY GREW 0.1% ON QUARTER IN 4Q ON A SEASONALLY ADJUSTED ANNUALIZED RATE,"['SG','MCE','ECI','GDP','NR/CBK','SEA','NR/TRD','TRACC','NIKKEI']"
237,*SINGAPORE ECONOMY GREW 0.7% IN 2019 ,"['SG','MCE','ECI','GDP','NR/CBK','SEA','NR/TRD','TRACC','NIKKEI']"
238,*SINGAPORE ECONOMY GREW 0.8% ON YEAR IN 4Q – GOVT ADVANCE ESTIMATES,"['NIKKEI','SG','NR/ERN','RES','NR/ASIA']"
239,*SINGAPORE ECONOMY GREW 0.1% ON QUARTER IN 4Q ON A SEASONALLY ADJUSTED ANNUALIZED RATE,"['SG','MCE','ECI','GDP','NR/CBK','SEA','NR/TRD','TRACC','NIKKEI','NR/ASIA']"
240,*SINGAPORE ECONOMY GREW 0.7% IN 2019 ,"['SG','MCE','ECI','GDP','NR/CBK','SEA','NR/TRD','TRACC','NIKKEI','NR/ASIA']"
241,*MALAYSIA'S DECEMBER MANUFACTURING PMI RISES TO 50.0 VS 49.5 IN NOVEMBER - IHS MARKIT,"['NIKKEI','MY','SEA','ECON','PMI']"
242,*MALAYSIA'S DECEMBER MANUFACTURING PMI RISES TO 50.0 VS 49.5 IN NOVEMBER - IHS MARKIT,"['NIKKEI','MY','SEA','ECON','PMI','NR/ASIA']"
243,*SINGAPORE PRIVATE HOME PRICES ROSE 0.3% IN 4Q FROM 3Q – URA FLASH ESTIMATES,"['NIKKEI','SG','MCE','ECI','GDP','REAL','REAM','HOSAL']"
244,*,"['REUTERS','FRX','DBT','MMT','IN']"
245,*SINGAPORE PRIVATE HOME PRICES ROSE 0.3% IN 4Q FROM 3Q – URA FLASH ESTIMATES,"['NIKKEI','SG','MCE','ECI','GDP','REAL','REAM','HOSAL','NR/ASIA']"
246,*SINGAPORE PRIVATE HOME PRICES ROSE 2.5% IN 2019 – URA FLASH ESTIMATES,"['NIKKEI','SG','MCE','ECI','GDP','REAL','REAM','HOSAL']"
247,*SINGAPORE PRIVATE HOME PRICES ROSE 2.5% IN 2019 – URA FLASH ESTIMATES,"['NIKKEI','SG','MCE','ECI','GDP','REAL','REAM','HOSAL','NR/ASIA']"
248,*,"['REUTERS','FRX','DBT','MMT','IN']"
249,*MALAYSIA'S KLCI OPENS 0.1% HIGHER AT 1590.98,"['NR/STK','SEA','MY','NIKKEI']"
250,*MALAYSIA'S KLCI OPENS 0.1% HIGHER AT 1590.98,"['NR/STK','SEA','MY','NIKKEI','NR/ASIA']"
251,"*MALAYSIA'S KUALA LUMPUR KEPONG OPENS 2% HIGHER AT MYR25.30, TOP PERCENTAGE GAINER ON KLCI","['POIL','NR/STK','SEA','MY','NIKKEI','FOOD','ISLF','2445.KL']"
252,"*MALAYSIA'S KUALA LUMPUR KEPONG OPENS 2% HIGHER AT MYR25.30, TOP PERCENTAGE GAINER ON KLCI","['POIL','NR/STK','SEA','MY','NIKKEI','FOOD','ISLF','2445.KL','NR/ASIA']"
253,"*MALAYSIA’S POH HUAT RESOURCES HOLDINGS FALLS 1.3% AT MYR1.50, WEAKER 4Q PROFIT DRAGS","['NR/STK','SEA','MY','NIKKEI','SOFA','ISLF','7088.KL']"
254,"*MALAYSIA’S POH HUAT RESOURCES HOLDINGS FALLS 1.3% AT MYR1.50, WEAKER 4Q PROFIT DRAGS","['NR/STK','SEA','MY','NIKKEI','SOFA','ISLF','7088.KL','NR/ASIA']"
255,"*MALAYSIA’S JHM CONSOLIDATION UP 1.2% AT MYR1.69, PROPOSED LISTING TRANSFER LIFTS","['NR/STK','SEA','MY','NIKKEI','ISLF','CHIP','0127.KL']"
256,"*MALAYSIA’S JHM CONSOLIDATION UP 1.2% AT MYR1.69, PROPOSED LISTING TRANSFER LIFTS","['NR/STK','SEA','MY','NIKKEI','ISLF','CHIP','0127.KL','NR/ASIA']"
257,"*MALAYSIA’S POWERWELL HOLDINGS STARTS TAKING ORDER FOR IPO, RAISING MYR21.85 MLN","['IPO','SEA','MY','NIKKEI']"
258,"*MALAYSIA’S POWERWELL HOLDINGS STARTS TAKING ORDERS FOR IPO, RAISING MYR21.85 MLN","['IPO','SEA','MY','NIKKEI','NR/ASIA']"
259,"*COUNTRY GARDEN GAINS 1.4%, AIA ADDS 1%, GALAXY ADVANCES 1.3% IN EARLY HONG KONG TRADING","['27.HK','1299.HK','2007.HK','NIKKEI','CN','HK']"
260,"*RAZER JUMPS 7.9% AFTER NAMING NEW CFO, AS UNIT APPLIES FOR SINGAPORE DIGITAL BANKING LICENSE","['1337.HK','NIKKEI','CN','HK']"
261,"*COUNTRY GARDEN GAINS 1.4%, AIA ADDS 1%, GALAXY ADVANCES 1.3% IN EARLY HONG KONG TRADING","['27.HK','1299.HK','2007.HK','NIKKEI','CN','HK','NR/ASIA']"
262,*CRRC GAINS 1.8% AFTER DISLCOSING CONTRACTS WORTH CNY40.5 BLN FOR NOV-DEC PERIOD,"['1766.HK','NIKKEI','CN','HK']"
263,"*RAZER JUMPS 7.9% AFTER NAMING NEW CFO, AS UNIT APPLIES FOR SINGAPORE DIGITAL BANKING LICENSE","['1337.HK','NIKKEI','CN','HK','NR/ASIA']"
264,*CRRC GAINS 1.8% AFTER DISLCOSING CONTRACTS WORTH CNY40.5 BLN FOR NOV-DEC PERIOD,"['1766.HK','NIKKEI','CN','HK','NR/ASIA']"
265,*STAR PROPERTIES SURGES 33% AFTER UNIT AGREES TO SELL RAINBOW RED HOLDINGS FOR HK$980 MLN,"['1560.HK','NIKKEI','CN','HK']"
266,*STAR PROPERTIES SURGES 33% AFTER UNIT AGREES TO SELL RAINBOW RED HOLDINGS FOR HK$980 MLN,"['1560.HK','NIKKEI','CN','HK','NR/ASIA']"
267,*INNOVAX JUMPS 6.8% AFTER BUYING SHARES IN TAIZHOU WATER; TAIZHOU DROPS 2.4% IN 2ND DAY OF TRADING,"['2680.HK','1542.HK','NIKKEI','CN','HK']"
268,*INNOVAX JUMPS 6.8% AFTER BUYING SHARES IN TAIZHOU WATER; TAIZHOU DROPS 2.4% IN 2ND DAY OF TRADING,"['2680.HK','1542.HK','NIKKEI','CN','HK','NR/ASIA']"
269,*FOREIGN INVESTORS SOLD NET $0.56 MLN OF INDIA DEBT ON JAN 1,"['REUTERS','FRX','DBT','MMT','IN','GVD','CORPD']"
270,*MALAYSIA SIME DARBY'S UNIT SIGNS DEALERSHIP PACT WITH HYSTER,"['ISLF','AUTO','SEA','MY','NIKKEI','4197.KL','INDM','CARM']"
271,*MALAYSIA SIME DARBY'S UNIT SIGNS DEALERSHIP PACT WITH HYSTER,"['ISLF','AUTO','SEA','MY','NIKKEI','4197.KL','INDM','CARM','NR/ASIA']"
272,*FOREIGN INVESTORS SOLD NET $0.56 MLN OF INDIA DEBT ON JAN 1,"['REUTERS','FRX','DBT','MMT','IN','GVD','CORPD']"
273,*INDIA RUPEE AT 71.25 TO DOLLAR AGAINST 71.22 PREVIOUS CLOSE,"['REUTERS','FRX','DBT','MMT','IN']"
274,"*INDIA BENCHMARK BOND OPENS AT INR99.60, UNCHANGED FROM PREVIOUS CLOSE","['REUTERS','GVD','DBT','MMT','IN']"
275,*HONG KONG IPO MARKET TO RAISE HK$230 TO HK$260 BILLION IN 2020: PWC,"['IPO','CN','HK','NIKKEI']"
276,*HONG KONG IPO MARKET TO RAISE HK$230 TO HK$260 BILLION IN 2020 - PWC,"['IPO','CN','HK','NIKKEI','NR/ASIA']"
277,"*INDIA FINANCE MINISTRY OFFICIAL: CONCOR, BPCL, AIR INDIA DIVESTMENT UNLIKELY THIS FY","['REUTERS','FRX','DBT','MMT','IN','ECON']"
278,*INDIA'S NHPC SETS 7.38% COUPON ON 6-10 YEAR STRPP BONDS - DEALERS,"['REUTERS','DBT','MMT','IN','CORPD']"
279,*INDIA'S NHPC SETS 7.38% COUPON ON 6-10 YEAR STRPP BONDS - DEALERS,"['REUTERS','DBT','MMT','IN','CORPD']"
280,*INDIA'S NABARD SETS 7.57% COUPON ON 15-YEAR BONDS - DEALERS,"['REUTERS','DBT','MMT','IN','CORPD']"
281,*INDIA'S BANK OF BARODA SETS 7.44% COUPON ON 10-YEAR TIER II BONDS - DEALERS,"['REUTERS','DBT','MMT','IN','CORPD']"
282,*INDIA'S NABARD SETS 7.57% COUPON ON 15-YEAR BONDS - DEALERS,"['REUTERS','DBT','MMT','IN','CORPD']"
283,*INDIA'S BANK OF BARODA SETS 7.44% COUPON ON 10-YEAR TIER II BONDS - DEALERS,"['REUTERS','DBT','MMT','IN','CORPD']"
284,*INDIA'S BLUE STAR TO RAISE FUNDS VIA MARCH-END CP AT 5.23% COUPON - DEALERS,"['REUTERS','DBT','MMT','IN','CORPD']"
285,*INDIA'S BLUE STAR TO RAISE FUNDS VIA MARCH-END CP AT 5.23% COUPON - DEALERS,"['REUTERS','DBT','MMT','IN','CORPD']"
286,*INDIA’S NTPC TO RAISE FUNDS VIA 3-MONTH CP AT 5.48% COUPON - DEALERS,"['REUTERS','DBT','MMT','IN','CORPD']"
287,*INDIA’S NTPC TO RAISE FUNDS VIA 3-MONTH CP AT 5.48% COUPON - DEALERS,"['REUTERS','DBT','MMT','IN','CORPD']"
288,*INDIA FIN MIN OFFICIAL: IRFC LIKELY TO FILE DRAFT RED HERRING PROSPECTUS FOR IPO NEXT WEEK,"['REUTERS','DBT','MMT','IN','POL','ECON','IPO','STK','PLCY']"
289,"*INDIA FIN MIN OFFICIAL: PLAN TO COMPLETE IRFC IPO THIS FY, AIM TO RAISE INR15 BLN","['REUTERS','DBT','MMT','IN','POL','ECON','IPO','STK','PLCY']"
290,*MALAYSIA'S KLCI ENDS 0.9% HIGHER AT 1602.50,"['NR/STK','SEA','MY','NIKKEI']"
291,"*MALAYSIA'S PUBLIC BANK ENDS 2.4% HIGHER AT MYR19.90, TOP PERCENTAGE GAINER ON KLCI","['NIKKEI','MY','SEA','NR/STK','BANK','1295.KL']"
292,*MALAYSIA'S KLCI ENDS 0.9% HIGHER AT 1602.50,"['NR/STK','SEA','MY','NIKKEI','NR/SMC','NR/ASIA']"
293,"*MALAYSIA'S PUBLIC BANK ENDS 2.4% HIGHER AT MYR19.90, TOP PERCENTAGE GAINER ON KLCI","['NIKKEI','MY','SEA','NR/STK','BANK','1295.KL','NR/ASIA']"
294,"*INDIA’S PGC TO RAISE FUNDS VIA 10-YEAR, 3-MONTH AND 6-DAY BONDS, INVITES BIDS ON JAN 6 – DEALERS","['REUTERS','DBT','MMT','IN','CORPD']"
295,"*INDIA’S PGC TO RAISE FUNDS VIA 10-YEAR, 3-MONTH AND 6-DAY BONDS, INVITES BIDS ON JAN 6 – DEALERS","['REUTERS','DBT','MMT','IN','CORPD']"
296,"*INDIA OFFICIAL: PLAN TO SANCTION ROAD PROJECTS WORTH INR39.53 BLN IN JAMMU, KASHMIR, LADAKH THIS FY","['REUTERS','DBT','MMT','IN','POL','ECON','ROAD','PLCY']"
297,"*INDIA ROAD MIN OFFICIAL: PROJECTS TO BE AWARDED VIA ENGINEERING, PROCUREMENT, CONSTRUCTION CONTRACTS","['REUTERS','DBT','MMT','IN','POL','ECON','ROAD','PLCY']"
298,*MALAYSIA'S GAMUDA: JV GETS SEAWALL PROJECT CONTRACT IN TAIWAN WORTH NT$6.82 BLN ,"['NR/JVN','COEN','SEA','MY','NIKKEI','5398.KL','ISLF']"
299,*MALAYSIA'S GAMUDA: JV GETS SEAWALL PROJECT CONTRACT IN TAIWAN WORTH NT$6.82 BLN ,"['NR/JVN','COEN','SEA','MY','NIKKEI','5398.KL','ISLF','NR/ASIA']"
300,"*INDIA REVENUE SECRETARY, TAX COMMISSIONERS TO MEET ON JAN 7 ON GST SYSTEM, REFUNDS - OFFICIAL","['REUTERS','DBT','MMT','IN','TAX','ECON']"
301,*INDIA ONGC HAS LIKELY WON ALL SEVEN BLOCKS UNDER OALP IV - OFFICIAL,"['REUTERS','OILG','IN']"
302,*INDIA OIL MINISTER: ONGC HAS WON ALL HYDROCARBON BLOCKS IN OALP IV ,"['REUTERS','OILG','IN']"
303,*INDIA OIL MINISTER DHARMENDRA PRADHAN SPEAKING AT EVENT IN NEW DELHI,"['REUTERS','OILG','IN']"
304,*FOREIGN INVESTORS BOUGHT NET $50.31 MLN OF INDIAN SHARES ON JAN 1,"['REUTERS','FRX','MMT','IN','STX','STK']"
